sample1;;sample2;
Wavelength (nm);Abs;Wavelength (nm);%R
329;1.100.094.914;329;7.853.216.648
328;1.103.251.934;328;8.000.226.974
327;1.100.794.911;327;7.852.315.903
326;1.101.274.967;326;7.948.353.291
325;1.099.612.951;325;795.480.299
324;1.094.582.796;324;7.953.128.815
323;1.092.090.368;323;7.988.490.105
322;1.097.151.399;322;8.014.854.431
321;1.092.816.114;321;8.017.676.353
320;109.532.845;320;7.996.434.212
319;1.093.471.646;319;8.074.736.595
318;1.087.068.081;318;8.084.322.929
317;1.091.263.652;317;8.143.754.959
316;1.089.527.845;316;8.049.687.386
315;1.085.618.615;315;8.170.760.155
314;1.084.327.936;314;8.197.553.635
313;1.086.298.585;313;8.246.883.392
312;1.084.802.747;312;8.233.777.046
311;1.084.623.933;311;8.245.613.098
310;1.082.448.363;310;8.275.432.587
309;1.082.273.245;309;8.297.262.192
308;1.082.586.884;308;8.203.715.324
307;1.081.386.924;307;8.323.414.803
306;108.103.466;306;8.310.840.607
305;1.081.410.766;305;8.264.760.017
304;1.074.046.135;304;8.186.457.634
303;1.080.569.506;303;8.311.920.166
302;107.973.814;302;8.305.179.596
301;1.081.860.185;301;8.249.827.385
300;1.076.129.436;300;8.322.575.569
299;1.077.694.774;299;8.329.909.325
298;1.079.567.671;298;8.355.234.146
297;1.080.422.521;297;8.357.050.896
296;1.072.803.736;296;8.333.272.934
295;1.076.588.035;295;8.445.291.519
294;1.072.482.228;294;8.386.566.162
293;1.076.753.139;293;8.436.548.233
292;1.079.237.342;292;8.449.080.467
291;1.071.997.762;291;8.391.866.684
290;1.075.609.565;290;8.431.653.976
289;1.072.466.493;289;8.432.390.213
288;1.070.903.659;288;8.443.481.445
287;1.067.460.418;287;8.519.855.499
286;10.710.361;286;8.522.596.359
285;1.065.089.703;285;8.525.333.405
284;1.068.652.987;284;8.555.030.823
283;1.064.978.242;283;8.552.136.421
282;1.065.379.381;282;8.644.207.001
281;1.062.601.566;281;8.640.360.832
280;1.061.695.695;280;8.581.728.935
279;1.062.603.951;279;8.623.496.056
278;1.062.957.764;278;8.626.929.283
277;1.062.757.492;277;8.640.543.938
276;1.058.778.763;276;8.656.620.026
275;1.059.317.946;275;869.610.405
274;1.055.434.823;274;8.759.464.264
273;1.056.528.807;273;8.858.215.332
272;1.054.214.001;272;8.728.276.253
271;1.055.147.171;271;8.791.675.568
270;105.292.058;270;8.792.547.226
269;1.049.185.395;269;8.841.959
268;1.055.142.641;268;8.833.477.974
267;1.051.739.812;267;8.883.811.951
266;105.005.753;266;8.918.430.328
265;1.052.244.186;265;8.873.598.099
264;1.051.849.246;264;8.865.704.536
263;1.049.075.007;263;8.923.980.713
262;1.049.662.709;262;8.938.521.385
261;1.045.661.092;261;9.012.602.806
260;104.543.972;260;9.016.617.775
259;1.046.143.174;259;898.677.063
258;1.044.295.311;258;895.520.401
257;1.043.690.562;257;9.065.983.772
256;1.037.703.395;256;9.041.597.366
255;1.042.398.334;255;9.122.156.143
254;1.038.680.911;254;9.138.048.172
253;1.038.576.484;253;9.126.962.662
252;1.036.791.086;252;9.118.339.539
251;1.035.119.891;251;9.180.251.122
250;1.032.444.835;250;9.233.421.326
249;1.030.484.438;249;932.030.201
248;1.029.688.478;248;9.256.677.628
247;1.029.220.104;247;9.364.699.364
246;1.023.996.472;246;9.391.999.245
245;1.024.330.378;245;942.855.072
244;1.022.365.093;244;9.487.707.138
243;1.020.507.097;243;9.520.825.386
242;1.017.677.188;242;9.587.395.668
241;1.017.140.031;241;961.306.572
240;1.017.344.475;240;9.646.318.436
239;1.011.350.274;239;9.705.679.893
238;1.011.137.366;238;9.780.707.359
237;1.011.569.977;237;9.843.997.955
236;1.005.915.642;236;9.838.196.754
235;1.005.291.581;235;9.939.321.518
234;1.004.817.009;234;9.954.169.273
233;1.003.134.251;233;9.994.148.254
232;0.9969323874;232;101.115.818
231;0.9984261394;231;1.018.459.034
230;0.9961745739;230;1.026.310.825
229;0.9925320745;229;1.031.641.483
228;0.9863786101;228;1.037.461.281
227;0.9838387966;227;1.055.975.342
226;0.9815642238;226;1.055.227.375
225;0.9794937968;225;1.067.148.018
224;0.976434648;224;1.067.133.331
223;0.9709160924;223;1.078.023.243
222;0.9707936049;222;1.082.748.604
221;0.9682163596;221;1.084.080.887
220;0.9674878716;220;1.089.751.625
219;0.9641926289;219;1.115.016.556
218;0.9618211389;218;1.111.857.986
217;0.9559187293;217;1.128.274.155
216;0.9577510357;216;1.126.928.616
215;0.9470148683;215;1.142.043.972
214;0.9441096187;214;1.161.399.364
213;0.9383226633;213;1.166.962.433
212;0.9417076707;212;116.988.554
211;0.9348266721;211;1.200.489.998
210;0.9276200533;210;121.187.191
209;0.9176992774;209;1.219.440.174
208;0.9120628238;208;1.256.289.673
207;0.9103942513;207;1.238.647.556
206;0.9037582874;206;1.273.891.926
205;0.8920637965;205;1.302.017.593
204;0.8850353956;204;1.332.391.834
203;0.8700258136;203;1.350.604.916
202;0.8656721115;202;1.393.867.302
201;0.8507787585;201;1.422.205.734
200;0.8420815468;200;1.458.189.678
;;;
sample1;;;
sample1;;;
Collection Time: 19/07/2025 12:44:41;;;
Operator Name  :;;;
Scan Software Version: 4.20(470);;;
Parameter List :;;;
Instrument                        Cary 100;;;
Instrument Version                12.00;;;
Start (nm)                        800.00;;;
Stop (nm)                         200.00;;;
X Mode                            Nanometers;;;
Y Mode                            Abs;;;
UV-Vis Scan Rate (nm/min)         600.000;;;
UV-Vis Data Interval (nm)         1.000;;;
UV-Vis Ave. Time (sec)            0.100;;;
UV-Vis SBW (nm)                   2.0;;;
Beam Mode                         Double;;;
Signal-to-noise Mode              Off;;;
UV Source                         On;;;
Vis Source                        On;;;
Source Changeover (nm)            350.00;;;
Baseline Correction               On;;;
Baseline Type                     Baseline correction;;;
Baseline File Name;;;
Baseline Std Ref File Name;;;
Cycle Mode                        Off;;;
Comments;;;
Method Log     :;;;
Method Name    :;;;
Date/Time stamp: 19/07/2025 11:45:35;;;
Method Modifications:;;;
Auto Lamps Off Changed: 19/07/2025 12:00:26; Old:0; New:1;
Baseline Correction Changed: 19/07/2025 12:00:26; Old:0; New:1;
End Method Modifications;;;
<SBW (nm)> ; 2.00;;
<Energy> ; 171.00;;
<Current Wavelength> ; 200.00;;
;;;
sample2;;;
sample2;;;
Collection Time: 19/07/2025 12:52:10;;;
Operator Name  :;;;
Scan Software Version: 4.20(470);;;
Parameter List :;;;
Instrument                        Cary 100;;;
Instrument Version                12.00;;;
Start (nm)                        800.00;;;
Stop (nm)                         200.00;;;
X Mode                            Nanometers;;;
Y Mode                            %R;;;
UV-Vis Scan Rate (nm/min)         600.000;;;
UV-Vis Data Interval (nm)         1.000;;;
UV-Vis Ave. Time (sec)            0.100;;;
UV-Vis SBW (nm)                   2.0;;;
Beam Mode                         Double;;;
Signal-to-noise Mode              Off;;;
UV Source                         On;;;
Vis Source                        On;;;
Source Changeover (nm)            350.00;;;
Baseline Correction               On;;;
